status,card_present_flag,txn_description,merchant_id,balance,date,gender,age,merchant_suburb,merchant_state,transaction_date_time,amount,customer_id,movement,customer_longitude,customer_latitude,merchant_longitude,merchant_latitude
authorized,1,POS,81c48296-73be-44a7-befa-d053f48ce7cd,35.39,2018-08-01,F,26,Ashmore,QLD,2018-08-01 01:01:15+00:00,16.25,CUS-2487424745,debit,153.41,-27.95,153.38,-27.99
authorized,0,SALES-POS,830a451c-316e-4a6a-bf25-e37caedca49e,21.2,2018-08-01,F,26,Sydney,NSW,2018-08-01 01:13:45+00:00,14.19,CUS-2487424745,debit,153.41,-27.95,151.21,-33.87
authorized,1,POS,835c231d-8cdf-4e96-859d-e9d571760cf0,5.71,2018-08-01,M,38,Sydney,NSW,2018-08-01 01:26:15+00:00,6.42,CUS-2142601169,debit,151.23,-33.94,151.21,-33.87
authorized,1,SALES-POS,48514682-c78a-4a88-b0da-2d6302e64673,2117.22,2018-08-01,F,40,Buderim,QLD,2018-08-01 01:38:45+00:00,40.9,CUS-1614226872,debit,153.10,-27.66,153.05,-26.68
authorized,1,SALES-POS,b4e02c10-0852-4273-b8fd-7b3395e32eb0,17.95,2018-08-01,F,26,Mermaid Beach,QLD,2018-08-01 01:51:15+00:00,3.25,CUS-2487424745,debit,153.41,-27.95,153.44,-28.06
posted,0,PAYMENT,,1705.43,2018-08-01,M,20,,,2018-08-01 02:00:00+00:00,163.0,CUS-2688605418,debit,151.22,-33.87,,
authorized,1,SALES-POS,3aa18033-a0a9-4190-a117-b7caaf4d07e3,1248.36,2018-08-01,F,43,Kalkallo,VIC,2018-08-01 02:23:04+00:00,61.06,CUS-4123612273,debit,144.95,-37.76,144.95,-37.53
authorized,1,POS,ee58145d-26e8-4b01-9cd9-62378014f21d,1232.75,2018-08-01,F,43,Melbourne,VIC,2018-08-01 04:11:25+00:00,15.61,CUS-4123612273,debit,144.95,-37.76,144.96,-37.81
authorized,1,POS,cfbf535e-caa8-499f-9d41-bbdc2b836d85,213.16,2018-08-01,F,27,Yokine,WA,2018-08-01 04:40:00+00:00,19.25,CUS-3026014945,debit,116.06,-32.00,115.85,-31.9
posted,0,INTER BANK,,466.58,2018-08-01,M,40,,,2018-08-01 06:00:00+00:00,21.0,CUS-2031327464,debit,151.23,-33.96,,
posted,0,PAYMENT,,4348.5,2018-08-01,M,19,,,2018-08-01 06:00:00+00:00,27.0,CUS-2317998716,debit,146.94,-36.04,,
posted,0,PAYMENT,,1203.75,2018-08-01,F,43,,,2018-08-01 06:00:00+00:00,29.0,CUS-4123612273,debit,144.95,-37.76,,
authorized,1,SALES-POS,33952b07-859c-4c0a-8b1d-813a5f6b444c,207.08,2018-08-01,F,27,Cockburn Central,WA,2018-08-01 06:06:40+00:00,6.08,CUS-3026014945,debit,116.06,-32.00,115.86,-32.13
posted,0,INTER BANK,,4438.16,2018-08-01,M,23,,,2018-08-01 07:00:00+00:00,25.0,CUS-1462656821,debit,151.27,-33.76,,
posted,0,INTER BANK,,173.66,2018-08-01,M,43,,,2018-08-01 07:00:00+00:00,39.0,CUS-3142625864,debit,145.16,-37.84,,
authorized,1,POS,d920de7f-959c-4d9a-aee5-930689a2f8cd,2.85,2018-08-01,M,30,Mount Ommaney,QLD,2018-08-01 07:20:48+00:00,10.79,CUS-860700529,debit,153.05,-27.61,152.94,-27.55
posted,0,INTER BANK,,260514.83,2018-08-01,M,46,,,2018-08-01 08:00:00+00:00,22.0,CUS-2370108457,debit,144.99,-37.90,,
posted,0,PAYMENT,,3117.94,2018-08-01,F,26,,,2018-08-01 08:00:00+00:00,55.0,CUS-2630892467,debit,149.03,-34.97,,
posted,0,PAYMENT,,38.31,2018-08-01,F,47,,,2018-08-01 08:00:00+00:00,58.0,CUS-3716701010,debit,115.72,-32.28,,
